Timestamp [UTC],STR0_EPOCH_TIME - Solution epoch [s],STR0_Q_S - Attitude (TOD<-SAT) S [[--]],STR0_Q_X - Attitude (TOD<-SAT) X [[--]],STR0_Q_Y - Attitude (TOD<-SAT) Y [[--]],STR0_Q_Z - Attitude (TOD<-SAT) Z [[--]],STR0_X_RATE - Angular rate (SAT) X [°/s],STR0_Y_RATE - Angular rate (SAT) Y [°/s],STR0_Z_RATE - Angular rate (SAT) Z [°/s],STR1_EPOCH_TIME - Solution epoch [s],STR1_Q_S - Attitude (TOD<-SAT) S [[--]],STR1_Q_X - Attitude (TOD<-SAT) X [[--]],STR1_Q_Y - Attitude (TOD<-SAT) Y [[--]],STR1_Q_Z - Attitude (TOD<-SAT) Z [[--]],STR1_X_RATE - Angular rate (SAT) X [°/s],STR1_Y_RATE - Angular rate (SAT) Y [°/s],STR1_Z_RATE - Angular rate (SAT) Z [°/s],VOTER_Q_S - Attitude (TOD<-SAT) S [[--]],VOTER_Q_X - Attitude (TOD<-SAT) X [[--]],VOTER_Q_Y - Attitude (TOD<-SAT) Y [[--]],VOTER_Q_Z - Attitude (TOD<-SAT) Z [[--]],VOTER_X_RATE - Angular rate (SAT) X [°/s],VOTER_Y_RATE - Angular rate (SAT) Y [°/s],VOTER_Z_RATE - Angular rate (SAT) Z [°/s]
2021-07-04 13:57:04.500000+00:00,,,,,,,,,0.0,-0.830731,0.176353,-0.446357,0.282044,0.28397,-1.153264,0.893029,-0.830731,0.176353,-0.446357,0.282044,0.28397,-1.153264,0.893029
2021-07-04 13:57:05.500000+00:00,,,,,,,,,0.0,-0.836568,0.175658,-0.439482,0.275958,-0.0572,-0.682559,0.393931,-0.836568,0.175658,-0.439482,0.275958,-0.0572,-0.682559,0.393931
2021-07-04 13:57:06.500000+00:00,,,,,,,,,0.0,-0.841853,0.17466,-0.433117,0.270529,-0.160849,-0.642126,0.190868,-0.841853,0.17466,-0.433117,0.270529,-0.160849,-0.642126,0.190868
2021-07-04 13:57:07.500000+00:00,,,,,,,,,0.0,-0.847933,0.172556,-0.42595,0.264194,0.236791,-1.07112,0.735017,-0.847933,0.172556,-0.42595,0.264194,0.236791,-1.07112,0.735017
2021-07-04 13:57:08.500000+00:00,,,,,,,,,0.0,-0.854768,0.169426,-0.418101,0.256626,1.259487,-2.339117,2.616214,-0.854768,0.169426,-0.418101,0.256626,1.259487,-2.339117,2.616214
2021-07-04 13:57:09.500000+00:00,,,,,,,,,0.0,-0.856925,0.170576,-0.414615,0.254315,0.138412,-0.989659,0.667794,-0.856925,0.170576,-0.414615,0.254315,0.138412,-0.989659,0.667794
2021-07-04 13:57:10.500000+00:00,,,,,,,,,0.0,-0.86228,0.168929,-0.407788,0.24828,0.326245,-1.262489,0.976159,-0.86228,0.168929,-0.407788,0.24828,0.326245,-1.262489,0.976159
2021-07-04 13:57:11.500000+00:00,,,,,,,,,0.0,-0.867199,0.167578,-0.401273,0.242613,0.338404,-1.231955,0.98863,-0.867199,0.167578,-0.401273,0.242613,0.338404,-1.231955,0.98863
2021-07-04 13:57:12.500000+00:00,,,,,,,,,0.0,-0.871622,0.166749,-0.39508,0.237446,-0.204966,-0.563857,0.0991,-0.871622,0.166749,-0.39508,0.237446,-0.204966,-0.563857,0.0991
2021-07-04 13:57:13.500000+00:00,,,,,,,,,0.0,-0.876084,0.165731,-0.388731,0.232156,-0.151669,-0.57795,0.128885,-0.876084,0.165731,-0.388731,0.232156,-0.151669,-0.57795,0.128885
2021-07-04 13:57:14.500000+00:00,,,,,,,,,0.0,-0.880875,0.164141,-0.381981,0.226287,-0.076329,-0.605168,0.269707,-0.880875,0.164141,-0.381981,0.226287,-0.076329,-0.605168,0.269707
2021-07-04 13:57:15.500000+00:00,,,,,,,,,0.0,-0.885781,0.162379,-0.374875,0.220212,-0.019421,-0.877164,0.453425,-0.885781,0.162379,-0.374875,0.220212,-0.019421,-0.877164,0.453425
2021-07-04 13:57:16.500000+00:00,,,,,,,,,0.0,-0.890387,0.161553,-0.367623,0.214392,-0.06505,-0.66763,0.246806,-0.890387,0.161553,-0.367623,0.214392,-0.06505,-0.66763,0.246806
2021-07-04 13:57:17.500000+00:00,,,,,,,,,0.0,-0.894528,0.15955,-0.361526,0.208954,-0.306968,-0.378866,-0.094157,-0.894528,0.15955,-0.361526,0.208954,-0.306968,-0.378866,-0.094157
2021-07-04 13:57:18.500000+00:00,,,,,,,,,0.0,-0.899783,0.157536,-0.353252,0.201954,0.254766,-1.014835,0.738175,-0.899783,0.157536,-0.353252,0.201954,0.254766,-1.014835,0.738175
2021-07-04 13:57:19.500000+00:00,,,,,,,,,0.0,-0.903554,0.156627,-0.346893,0.196778,-0.081549,-0.666328,0.2782,-0.903554,0.156627,-0.346893,0.196778,-0.081549,-0.666328,0.2782
